uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"dc9469fd-54da-4fb5-b96d-14de9b942c2a","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00174",,,"sapling","Live",1.9,10,1.5,,,,,,,,,,,,,,,"legacyData"
"02efb80b-871e-42c8-8271-d256734e3083","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00188",,,"sapling","Live",1.1,10,1.0,,,,,,,,,,,,,,,"legacyData"
"5a097ab7-8312-4faa-91d9-7b0c6b7c8cd1","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00205",,,"sapling","Live",1.2,10,1.2,,,,,,,,,,,,,,,"legacyData"
"e37ee397-b0e2-4524-af62-a9db6eb38211","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00195",,,"sapling","Live",1.4,10,1.3,,,,,,,,,,,,,,,"legacyData"
"2dacb77d-aabc-4165-86e7-2af1847b4dff","WOOD_014.basePlot.vst","2014-10-06","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00265",,,"sapling","Live",1.2,10,1.2,,,,,,,,,,,,,,,"legacyData"
"9b3081f5-d8e5-47da-8cd6-4844a9fa7ee8","WOOD_014.basePlot.vst","2014-10-06","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00250",,,"small shrub","Live",1.5,10,1.2,,,,0.6,0.4,,"cylinder",,,,,,,,"legacyData"
"69203f09-dafb-4e3e-b635-28b35879fdbd","WOOD_014.basePlot.vst","2014-10-06","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00280",,,"sapling","Live",1.2,10,1.3,,,,,,,,,,,,,,,"legacyData"
"84a62732-b5b8-4193-8991-d663c2d7709e","WOOD_014.basePlot.vst","2014-10-06","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00228",,,"sapling","Live",1.0,10,1.1,,,,,,,,,,,,,,,"legacyData"
"474e41ee-80e5-480a-8bc4-5c81ca00d8ec","WOOD_014.basePlot.vst","2014-10-06","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00270",,,"sapling","Live",1.1,10,0.9,,,,,,,,,,,,,,,"legacyData"
"662025a6-ef4d-468d-abf3-9c6c5cee7195","WOOD_014.basePlot.vst","2014-10-06","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00297",,,"sapling","Live",2.0,10,1.6,,,,,,,,,,,,,,,"legacyData"
"91893312-2c40-4576-be51-95585003126c","WOOD_014.basePlot.vst","2014-10-06","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00219",,,"small shrub","Live",1.4,10,1.1,,,,0.4,0.3,,"cylinder",,,,,,,,"legacyData"
"5b477890-3e43-4a2e-b566-9a76dba6b74a","WOOD_014.basePlot.vst","2014-10-06","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00238",,,"sapling","Live",1.2,10,1.1,,,,,,,,,,,,,,,"legacyData"
"3e06edc9-15bb-49ce-9fc7-0052a6072e88","WOOD_014.basePlot.vst","2014-10-06","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00252",,,"sapling","Live",1.2,10,1.2,,,,,,,,,,,,"No transcription error found.",,,"legacyData"
"202bd4ff-2495-49a8-9581-0ca835d91037","WOOD_014.basePlot.vst","2014-10-06","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00237",,,"sapling","Live",1.4,10,1.2,,,,,,,,,,,,,,,"legacyData"
"0c94983f-e693-450c-acbf-8ee6c712eb27","WOOD_014.basePlot.vst","2014-10-06","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00251",,,"sapling","Live",1.2,10,1.1,,,,,,,,,,,,,,,"legacyData"
"4ec0f5c1-1006-446a-8624-ae5c479f5258","WOOD_014.basePlot.vst","2014-10-06","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00284",,,"sapling","Live",1.0,10,0.9,,,,,,,,,,,,,,,"legacyData"
"caa9a4a2-f297-4423-bbb9-5de8478f0269","WOOD_014.basePlot.vst","2014-10-06","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00272",,,"sapling","Live",1.1,10,1.0,,,,,,,,,,,,,,,"legacyData"
"0c7413e5-4939-49d7-96a2-584499a6a160","WOOD_014.basePlot.vst","2014-10-06","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00256",,,"sapling","Standing dead",1.1,10,0.6,,,,,,,,,,,,,,,"legacyData"
